; charset=UTF-8
# IOO (BOM) : oui
# FDL (EOL) : Unix
#
# Udescripteurs.txt
# v10
# d27
# 2024-10-04T0722+0200
#
# Mise à jour grâce aux informations d’Alain LaBonté, 2022-04-23–2022-05-08
# Approbation a priori des noms en CAPITALE/MINUSCULE LATINE A/OE/X, 2022-05-08T1954-0400
#
# Ajout du préfixe `U` pour la compatibilité avec XKB, 2023-01-01
# Ajout des caractères pour faciliter la révision, 2023-01-01
#
# Remplacement de `Z` par `N` pour non bidi-réfléxible, 2023-01-29T1958+0100
#
# La liste Udescripteurs.txt est dérivée du standard Unicode™
# et de la version française de son image ISO/IEC 10646.
#
# Sont repris inchangés environ 49 % des noms de la version 10 de
# la liste française officielle révisée du 2017-08-08, 16:47:50 TUC
# téléchargée depuis :
# http://hapax.qc.ca/ListeNoms-10.0.0.txt
# et tenue à disposition à :
# http://dispoclavier.com/iso/src/v10/2017-08-08/ListeNoms-10.0.0.txt
#
# RÉSERVES :
# Le jeu de caractères universel est géré conjointement par Unicode et ISO/IEC JTC1 SC2 WG2
# qui le publie sous le numéro ISO/IEC 10646. Seule cette norme avait une version française.
# Aucune adaptation française n’est endossée par le Consortium Unicode®.
# L’original anglais : Copyright © 1991-2017 Unicode®, Inc.
# Unicode™ est une marque d’Unicode®, Inc.
# Avant toute distribution, consulter les modalités d’utilisation d’Unicode® :
# http://www.unicode.org/terms_of_use.html
#
# Cette liste est extraite d’une adaptation française complète de la NamesList (source
# originale d’Unicode pour la production des tables de caractères) qui se trouve à :
# http://unicode.org/Public/10.0.0/ucd/NamesList.txt
# La liste de tous les noms de caractères Unicode est consultable à :
# http://unicode.org/Public/10.0.0/ucd/extracted/DerivedName.txt
#
# Le fichier maître dont est dérivée la liste ci-dessous, contient aussi un certain nombre
# de commentaires. Ce fichier, nommé « docuDispos », se trouve à :
# https://dispoclavier.com/caras/src/v10/d20/docuDispos-10.0d20.txt
#
# Les principaux changements sont énumérés dans le change-log qui se trouve à :
# https://dispoclavier.com/caras/src/v10/d20/changeLog.txt
#
# ============================================================================
#
# Légende des catégories générales d’Unicode selon TUS 10.0.0, §04.5, p. 175 (p. 211 du PDF tout-en-un ; « TUS » = The Unicode Standard) :
#
#   Lu = Letter, uppercase ; Lettre capitale
#   Ll = Letter, lowercase ; Lettre minuscule
#   Lt = Letter, titlecase ; Lettre en casse de titre
#   Lm = Letter, modifier ; Lettre modificative
#   Lo = Letter, other ; Lettre autre
#
#   Mn = Mark, nonspacing ; Caractère combinant sans chasse
#   Mc = Mark, spacing combining ; Caractère combinant espaçant
#   Me = Mark, enclosing ; Caractère combinant entourant
#
#   Nd = Number, decimal digit ; Nombre : chiffre décimal
#   Nl = Number, letter ; Nombre : lettre
#   No = Number, other ; Nombre autre
#
#   Pc = Punctuation, connector ; Ponctuation joignante
#   Pd = Punctuation, dash ; Ponctuation tiret
#   Ps = Punctuation, open ; Ponctuation ouvrante
#   Pe = Punctuation, close ; Ponctuation fermante
#   Pi = Punctuation, initial quote (may behave like Ps or Pe depending on usage) ; Ponctuation : guillemet A (peut servir de Ps ou Pe selon l’usage)
#   Pf = Punctuation, final quote (may behave like Ps or Pe depending on usage) ; Ponctuation : guillemet B (peut servir de Ps ou Pe selon l’usage)
#   Po = Punctuation, other ; Ponctuation autre
#
#   Sm = Symbol, math ; Symbole mathématique
#   Sc = Symbol, currency ; Symbole monétaire
#   Sk = Symbol, modifier ; Symbole modificatif
#   So = Symbol, other ; Symbole autre
#
#   Zs = Separator, space ; Séparateur : espace
#   Zl = Separator, line ; Séparateur de ligne
#   Zp = Separator, paragraph ; Séparateur de paragraphe
#
#   Cc = Other, control ; Autre : commande
#   Cf = Other, format ; Autre : formatage
#   Cs = Other, surrogate ; Autre : demi-codet
#   Co = Other, private use ; Autre : usage privé
#   Cn = Other, not assigned (including noncharacters) ; Autre : non assigné (inclut les non-caractères)
#
#
# Légende des types de bidiréflexibilité :
#
#   A = par permutation de glyphes, proprement
#   B = par permutation de glyphes, approximativment (publication nécessite glyphe droite-à-gauche)
#   P = par glyphe droite-à-gauche dédié (souvent indisponible)
#   W = par remplacement de caractère, concerne les symboles mathématiques fléchés (pas encore définis)
#   N = non bidiréflexible
#
#
# Le fichier fournissant la catégorie générale et la réflexibilité de chaque caractère :
# http://unicode.org/Public/10.0.0/ucd/UnicodeData.txt
# La liste informative de tous les caractères réflexibles et de leur mode de réflexion :
# http://unicode.org/Public/10.0.0/ucd/BidiMirroring.txt
# La liste normative des ponctuations réflexibles d’Unicode :
# http://unicode.org/Public/10.0.0/ucd/BidiBrackets.txt
#
# Nombre de points de code listés : 31 696
# Soit 31 588 caractères à nom particulier, 66 non-caractères et 42 points réservés.
# Unicode 10.0.0 contient 136 690 caractères codés, dont 105 102 à nom générique.
#
# Format :
# Pour 11 caractères et les non-caractères :
# UPoint de code; Catégorie générale; Type de bidiréflexibilité; Descripteur ou nom
# Pour les autres caractères :
# "caractère" UPoint de code; Catégorie générale; Type de bidiréflexibilité; Descripteur ou nom

U0000; Cc; N; COMMANDE NUL
"" U0001; Cc; N; COMMANDE DÉBUT D’EN-TÊTE
"" U0002; Cc; N; COMMANDE DÉBUT DE TEXTE
"" U0003; Cc; N; COMMANDE FIN DE TEXTE
"" U0004; Cc; N; COMMANDE FIN DE TRANSMISSION
"" U0005; Cc; N; COMMANDE DEMANDE
"" U0006; Cc; N; COMMANDE ACCUSÉ DE RÉCEPTION
"" U0007; Cc; N; COMMANDE SONNERIE
"" U0008; Cc; N; COMMANDE ESPACE ARRIÈRE
U0009; Cc; N; COMMANDE TABULATION HORIZONTALE
U000A; Cc; N; COMMANDE SAUT DE LIGNE
"" U000B; Cc; N; COMMANDE TABULATION VERTICALE
"" U000C; Cc; N; COMMANDE SAUT DE PAGE
U000D; Cc; N; COMMANDE RETOUR DE CHARIOT
"" U000E; Cc; N; COMMANDE HORS CODE
"" U000F; Cc; N; COMMANDE EN CODE
"" U0010; Cc; N; COMMANDE ÉCHAPPEMENT TRANSMISSION
"" U0011; Cc; N; COMMANDE D’APPAREIL UN
"" U0012; Cc; N; COMMANDE D’APPAREIL DEUX
"" U0013; Cc; N; COMMANDE D’APPAREIL TROIS
"" U0014; Cc; N; COMMANDE D’APPAREIL QUATRE
"" U0015; Cc; N; COMMANDE ACCUSÉ DE RÉCEPTION NÉGATIF
"" U0016; Cc; N; COMMANDE SYNCHRONISATION
"" U0017; Cc; N; COMMANDE FIN DE BLOC DE TRANSMISSION
"" U0018; Cc; N; COMMANDE ANNULATION
"" U0019; Cc; N; COMMANDE FIN DE SUPPORT
"" U001A; Cc; N; COMMANDE SUBSTITUTION
"" U001B; Cc; N; COMMANDE ÉCHAPPEMENT
"" U001C; Cc; N; COMMANDE SÉPARATEUR DE FICHIERS
"" U001D; Cc; N; COMMANDE SÉPARATEUR DE GROUPES
"" U001E; Cc; N; COMMANDE SÉPARATEUR D’ENREGISTREMENTS
"" U001F; Cc; N; COMMANDE SÉPARATEUR D’UNITÉS
" " U0020; Zs; N; ESPACE
"!" U0021; Po; N; POINT D’EXCLAMATION
""" U0022; Po; N; GUILLEMET DOUBLE GÉNÉRIQUE
"#" U0023; Po; N; CROISILLON
"$" U0024; Sc; N; SYMBOLE DOLLAR
"%" U0025; Po; N; SYMBOLE POUR CENT
"&" U0026; Po; N; PERLUÈTE
"'" U0027; Po; N; GUILLEMET SIMPLE GÉNÉRIQUE
"(" U0028; Ps; A; PARENTHÈSE OUVRANTE
")" U0029; Pe; A; PARENTHÈSE FERMANTE
"*" U002A; Po; N; ASTÉRISQUE
"+" U002B; Sm; N; SIGNE PLUS
"," U002C; Po; N; VIRGULE
"-" U002D; Pd; N; TIRET
"." U002E; Po; N; POINT
"/" U002F; Po; N; OBLIQUE
"0" U0030; Nd; N; CHIFFRE ZÉRO
"1" U0031; Nd; N; CHIFFRE UN
"2" U0032; Nd; N; CHIFFRE DEUX
"3" U0033; Nd; N; CHIFFRE TROIS
"4" U0034; Nd; N; CHIFFRE QUATRE
"5" U0035; Nd; N; CHIFFRE CINQ
"6" U0036; Nd; N; CHIFFRE SIX
"7" U0037; Nd; N; CHIFFRE SEPT
"8" U0038; Nd; N; CHIFFRE HUIT
"9" U0039; Nd; N; CHIFFRE NEUF
":" U003A; Po; N; DEUX-POINTS
";" U003B; Po; N; POINT-VIRGULE
"<" U003C; Sm; A; SYMBOLE INFÉRIEUR
"=" U003D; Sm; N; SYMBOLE ÉGAL
">" U003E; Sm; A; SYMBOLE SUPÉRIEUR
"?" U003F; Po; N; POINT D’INTERROGATION
"@" U0040; Po; N; AROBASE
"A" U0041; Lu; N; CAPITALE LATINE A
"B" U0042; Lu; N; CAPITALE LATINE B
"C" U0043; Lu; N; CAPITALE LATINE C
"D" U0044; Lu; N; CAPITALE LATINE D
"E" U0045; Lu; N; CAPITALE LATINE E
"F" U0046; Lu; N; CAPITALE LATINE F
"G" U0047; Lu; N; CAPITALE LATINE G
"H" U0048; Lu; N; CAPITALE LATINE H
"I" U0049; Lu; N; CAPITALE LATINE I
"J" U004A; Lu; N; CAPITALE LATINE J
"K" U004B; Lu; N; CAPITALE LATINE K
"L" U004C; Lu; N; CAPITALE LATINE L
"M" U004D; Lu; N; CAPITALE LATINE M
"N" U004E; Lu; N; CAPITALE LATINE N
"O" U004F; Lu; N; CAPITALE LATINE O
"P" U0050; Lu; N; CAPITALE LATINE P
"Q" U0051; Lu; N; CAPITALE LATINE Q
"R" U0052; Lu; N; CAPITALE LATINE R
"S" U0053; Lu; N; CAPITALE LATINE S
"T" U0054; Lu; N; CAPITALE LATINE T
"U" U0055; Lu; N; CAPITALE LATINE U
"V" U0056; Lu; N; CAPITALE LATINE V
"W" U0057; Lu; N; CAPITALE LATINE W
"X" U0058; Lu; N; CAPITALE LATINE X
"Y" U0059; Lu; N; CAPITALE LATINE Y
"Z" U005A; Lu; N; CAPITALE LATINE Z
"[" U005B; Ps; A; CROCHET OUVRANT
"\" U005C; Po; N; OBLIQUE INVERSE
