	charset=UTF-8

0000	COMMANDE NUL
0001	COMMANDE DÉBUT D’EN-TÊTE
0002	COMMANDE DÉBUT DE TEXTE
0003	COMMANDE FIN DE TEXTE
0004	COMMANDE FIN DE TRANSMISSION
0005	COMMANDE DEMANDE
0006	COMMANDE ACCUSÉ DE RÉCEPTION
0007	COMMANDE SONNERIE
0008	COMMANDE ESPACE ARRIÈRE
0009	COMMANDE TABULATION HORIZONTALE
000A	COMMANDE SAUT DE LIGNE
000B	COMMANDE TABULATION VERTICALE
000C	COMMANDE SAUT DE PAGE
000D	COMMANDE RETOUR DE CHARIOT
000E	COMMANDE HORS CODE
000F	COMMANDE EN CODE
0010	COMMANDE ÉCHAPPEMENT TRANSMISSION
0011	COMMANDE D’APPAREIL UN
0012	COMMANDE D’APPAREIL DEUX
0013	COMMANDE D’APPAREIL TROIS
0014	COMMANDE D’APPAREIL QUATRE
0015	COMMANDE ACCUSÉ DE RÉCEPTION NÉGATIF
0016	COMMANDE SYNCHRONISATION
0017	COMMANDE FIN DE BLOC DE TRANSMISSION
0018	COMMANDE ANNULATION
0019	COMMANDE FIN DE SUPPORT
001A	COMMANDE SUBSTITUTION
001B	COMMANDE ÉCHAPPEMENT
001C	COMMANDE SÉPARATEUR DE FICHIERS
001D	COMMANDE SÉPARATEUR DE GROUPES
001E	COMMANDE SÉPARATEUR D’ENREGISTREMENTS
001F	COMMANDE SÉPARATEUR D’UNITÉS
0020	ESPACE
0021	POINT D’EXCLAMATION
0022	GUILLEMET DOUBLE GÉNÉRIQUE
0023	CROISILLON
0024	SYMBOLE DOLLAR
0025	SYMBOLE POUR CENT
0026	PERLUÈTE
0027	GUILLEMET SIMPLE GÉNÉRIQUE
0028	PARENTHÈSE OUVRANTE
0029	PARENTHÈSE FERMANTE
002A	ASTÉRISQUE
002B	SIGNE PLUS
002C	VIRGULE
002D	TIRET
002E	POINT
002F	OBLIQUE
0030	CHIFFRE ZÉRO
0031	CHIFFRE UN
0032	CHIFFRE DEUX
0033	CHIFFRE TROIS
0034	CHIFFRE QUATRE
0035	CHIFFRE CINQ
0036	CHIFFRE SIX
0037	CHIFFRE SEPT
0038	CHIFFRE HUIT
0039	CHIFFRE NEUF
003A	DEUX-POINTS
003B	POINT-VIRGULE
003C	SYMBOLE INFÉRIEUR
003D	SYMBOLE ÉGAL
003E	SYMBOLE SUPÉRIEUR
003F	POINT D’INTERROGATION
0040	AROBASE
0041	CAPITALE LATINE A
0042	CAPITALE LATINE B
0043	CAPITALE LATINE C
0044	CAPITALE LATINE D
0045	CAPITALE LATINE E
0046	CAPITALE LATINE F
0047	CAPITALE LATINE G
0048	CAPITALE LATINE H
0049	CAPITALE LATINE I
004A	CAPITALE LATINE J
004B	CAPITALE LATINE K
004C	CAPITALE LATINE L
004D	CAPITALE LATINE M
004E	CAPITALE LATINE N
004F	CAPITALE LATINE O
0050	CAPITALE LATINE P
0051	CAPITALE LATINE Q
0052	CAPITALE LATINE R
0053	CAPITALE LATINE S
0054	CAPITALE LATINE T
0055	CAPITALE LATINE U
0056	CAPITALE LATINE V
0057	CAPITALE LATINE W
0058	CAPITALE LATINE X
0059	CAPITALE LATINE Y
005A	CAPITALE LATINE Z
005B	CROCHET OUVRANT
005C	OBLIQUE INVERSE
005D	CROCHET FERMANT
005E	ACCENT CIRCONFLEXE
005F	TIRET BAS
0060	ACCENT GRAVE
0061	MINUSCULE LATINE A
0062	MINUSCULE LATINE B
0063	MINUSCULE LATINE C
0064	MINUSCULE LATINE D
0065	MINUSCULE LATINE E
0066	MINUSCULE LATINE F
0067	MINUSCULE LATINE G
0068	MINUSCULE LATINE H
0069	MINUSCULE LATINE I
006A	MINUSCULE LATINE J
006B	MINUSCULE LATINE K
006C	MINUSCULE LATINE L
006D	MINUSCULE LATINE M
006E	MINUSCULE LATINE N
006F	MINUSCULE LATINE O
0070	MINUSCULE LATINE P
0071	MINUSCULE LATINE Q
0072	MINUSCULE LATINE R
0073	MINUSCULE LATINE S
0074	MINUSCULE LATINE T
0075	MINUSCULE LATINE U
0076	MINUSCULE LATINE V
0077	MINUSCULE LATINE W
0078	MINUSCULE LATINE X
0079	MINUSCULE LATINE Y
007A	MINUSCULE LATINE Z
007B	ACCOLADE OUVRANTE
007C	BARRE VERTICALE
007D	ACCOLADE FERMANTE
007E	TILDE
007F	COMMANDE SUPPRESSION
0080	COMMANDE CARACTÈRE DE BOURRE
0081	COMMANDE OCTET SUPÉRIEUR PRÉDÉFINI
0082	COMMANDE ARRÊT PERMIS ICI
0083	COMMANDE AUCUN ARRÊT ICI
0084	COMMANDE INDEX
0085	COMMANDE À LA LIGNE
0086	COMMANDE DÉBUT DE ZONE SÉLECTIONNÉE
0087	COMMANDE FIN DE ZONE SÉLECTIONNÉE
0088	COMMANDE TAQUET DE TABULATION HORIZONTAL
0089	COMMANDE TABULATION HORIZONTALE AVEC JUSTIFICATION
008A	COMMANDE TAQUET DE TABULATION VERTICAL
008B	COMMANDE INTERLIGNE PARTIEL AVANT
008C	COMMANDE INTERLIGNE PARTIEL ARRIÈRE
008D	COMMANDE INTERLIGNE INVERSÉ
008E	COMMANDE REMPLACEMENT UNIQUE DEUX
008F	COMMANDE REMPLACEMENT UNIQUE TROIS
0090	COMMANDE CHAÎNE DE COMMANDE D’APPAREILS
0091	COMMANDE USAGE PRIVÉ UN
0092	COMMANDE USAGE PRIVÉ DEUX
0093	COMMANDE MISE EN MODE TRANSMISSION
0094	COMMANDE ANNULATION DE CARACTÈRE
0095	COMMANDE MESSAGE EN ATTENTE
0096	COMMANDE DÉBUT DE ZONE PROTÉGÉE
0097	COMMANDE FIN DE ZONE PROTÉGÉE
0098	COMMANDE DÉBUT DE CHAÎNE
0099	COMMANDE INTRODUCTEUR DE CARACTÈRE GRAPHIQUE UNIQUE
009A	COMMANDE INTRODUCTEUR DE CARACTÈRE UNIQUE
009B	COMMANDE INTRODUCTEUR DE SÉQUENCE DE COMMANDE
009C	COMMANDE FIN DE CHAÎNE
009D	COMMANDE COMMANDE DE SYSTÈME D’EXPLOITATION
009E	COMMANDE MESSAGE PRIVÉ
009F	COMMANDE COMMANDE DE LOGICIEL
00A0	ESPACE INSÉCABLE
00A1	POINT D’EXCLAMATION TOURNÉ
00A2	SYMBOLE CENTIME
00A3	SYMBOLE LIVRE
00A4	SYMBOLE MONÉTAIRE GÉNÉRIQUE
00A5	SYMBOLE YEN
00A6	DEUX-BARRETTES
00A7	SYMBOLE PARAGRAPHE
00A8	TRÉMA
00A9	SYMBOLE COPYRIGHT
00AA	INDICATEUR ORDINAL FÉMININ
00AB	GUILLEMET INFÉRIOÏDE
00AC	SYMBOLE NON
00AD	TRAIT DE CÉSURE CONDITIONNEL
00AE	SYMBOLE MARQUE DÉPOSÉE
00AF	MACRON
00B0	SYMBOLE DEGRÉ
00B1	SYMBOLE PLUS OU MOINS
00B2	EXPOSANT CHIFFRE DEUX
00B3	EXPOSANT CHIFFRE TROIS
00B4	ACCENT AIGU
00B5	SYMBOLE MICRO
00B6	PIED-DE-MOUCHE
00B7	POINT MÉDIAN
00B8	CÉDILLE
00B9	EXPOSANT CHIFFRE UN
00BA	INDICATEUR ORDINAL MASCULIN
00BB	GUILLEMET SUPÉRIOÏDE
00BC	FRACTION ORDINAIRE UN QUART
00BD	FRACTION ORDINAIRE UN DEMI
00BE	FRACTION ORDINAIRE TROIS QUARTS
